Provider Name,County,State,Ownership Type,More than one infection-control deficiency
PINE HAVEN HOME,Columbia,NY,For profit,
FERNCLIFF NURSING HOME CO INC,Dutchess,NY,For profit,
BUFFALO CENTER FOR REHABILITATION AND NURSING,Erie,NY,For profit,
FATHER BAKER MANOR,Erie,NY,Non profit,
GARDEN GATE HEALTH CARE FACILITY,Erie,NY,For profit,
"HARRIS HILL NURSING FACILITY, L L C",Erie,NY,For profit,
BENSONHURST CENTER FOR REHAB AND HEALTHCARE,Kings,NY,For profit,
COBBLE HILL HEALTH CENTER INC,Kings,NY,Non profit,
CROWN HEIGHTS CENTER FOR NURSING AND REHAB,Kings,NY,For profit,
DOWNTOWN BROOKLYN NURSING & REHABILITATION CENTER,Kings,NY,For profit,
DR SUSAN SMITH MCKINNEY NURSING AND REHAB CENTER,Kings,NY,Government,
HAYM SOLOMON HOME FOR THE AGED,Kings,NY,For profit,
KING DAVID CENTER FOR NURSING AND REHABILITATION,Kings,NY,For profit,
OXFORD NURSING HOME,Kings,NY,For profit,
SEA CREST NURSING AND REHABILITATION CENTER,Kings,NY,For profit,
SEAGATE REHABILITATION AND NURSING CENTER,Kings,NY,For profit,
SHORE VIEW NURSING & REHABILITATION CENTER,Kings,NY,For profit,
THE CHATEAU AT BROOKLYN REHAB AND NURSING CENTER,Kings,NY,For profit,
JEWISH HOME OF ROCHESTER,Monroe,NY,Non profit,
ST ANNS COMMUNITY,Monroe,NY,Non profit,
ST JOHNS HEALTH CARE CORPORATION,Monroe,NY,Non profit,YES
A HOLLY PATTERSON EXTENDED CARE FACILITY,Nassau,NY,Government,
CENTRAL ISLAND HEALTHCARE,Nassau,NY,For profit,
"EXCEL AT WOODBURY FOR REHAB AND NURSING, L L C",Nassau,NY,For profit,
GLEN COVE CENTER FOR NURSING AND REHABILITATION,Nassau,NY,For profit,
HEMPSTEAD PARK NURSING HOME,Nassau,NY,For profit,
HIGHFIELD GARDENS CARE CENTER OF GREAT NECK,Nassau,NY,For profit,YES
LONG BEACH NURSING AND REHABILITATION CENTER,Nassau,NY,For profit,YES
LYNBROOK RESTORATIVE THERAPY AND NURSING,Nassau,NY,For profit,
SUNHARBOR MANOR,Nassau,NY,For profit,YES
THE GRAND REHABILITATION AND NURSING AT GREAT NECK,Nassau,NY,For profit,
TOWNHOUSE CENTER FOR REHABILITATION & NURSING,Nassau,NY,For profit,
WHITE OAKS REHABILITATION AND NURSING CENTER,Nassau,NY,For profit,YES
ISABELLA GERIATRIC CENTER INC,New York,NY,Non profit,
MARY MANNING WALSH NURSING HOME CO INC,New York,NY,Non profit,
NEW GOUVERNEUR HOSPITAL S N F,New York,NY,Government,
NORTHERN MANHATTAN REHABILITATION AND NURSING CTR,New York,NY,For profit,
TERENCE CARDINAL COOKE HEALTH CARE CENTER,New York,NY,Non profit,
"THE NEW JEWISH HOME, MANHATTAN",New York,NY,Non profit,YES
THE RIVERSIDE,New York,NY,For profit,
UPPER EAST SIDE REHABILITATION AND NURSING CENTER,New York,NY,For profit,YES
MONTGOMERY NURSING AND REHABILITATION CENTER,Orange,NY,For profit,YES
THE VALLEY VIEW CENTER FOR NURSING CARE AND REHAB,Orange,NY,Government,YES
PUTNAM NURSING & REHABILITATION CENTER,Putnam,NY,For profit,
CARING FAMILY NURSING AND REHABILITATION CENTER,Queens,NY,For profit,
CLIFFSIDE REHAB & RESIDENTIAL HEALTH CARE CENTER,Queens,NY,For profit,
DRY HARBOR NURSING HOME,Queens,NY,For profit,
ELMHURST CARE CENTER INC,Queens,NY,For profit,
FRANKLIN CENTER FOR REHABILITATION AND NURSING,Queens,NY,For profit,
HOLLISWOOD CTR FOR REHABILITATION AND HEALTHCARE,Queens,NY,For profit,
OZANAM HALL OF QUEENS NURSING HOME INC,Queens,NY,Non profit,
PARKER JEWISH INSTITUTE FOR HEALTH CARE & REHAB,Queens,NY,Non profit,
REGO PARK NURSING HOME,Queens,NY,For profit,YES
SAPPHIRE CTR FOR REHAB & NRSG OF CTRL QUEENS,Queens,NY,For profit,
THE GRAND REHABILITATION AND NURSING AT QUEENS,Queens,NY,For profit,
CARMEL RICHMOND HEALTHCARE AND REHAB CENTER,Richmond,NY,Non profit,
APEX REHABILITATION & CARE CENTER,Suffolk,NY,For profit,
CARILLON NURSING AND REHABILITATION CENTER,Suffolk,NY,For profit,YES
GOOD SAMARITAN NURSING HOME,Suffolk,NY,Non profit,
GURWIN JEWISH NURSING AND REHABILITATION CENTER,Suffolk,NY,For profit,
ISLAND NURSING AND REHAB CENTER,Suffolk,NY,Non profit,
LUXOR NURSING AND REHABILITATION AT MILLS POND,Suffolk,NY,For profit,
LUXOR NURSING AND REHABILITATION AT SAYVILLE,Suffolk,NY,For profit,
OUR LADY OF CONSOLATION NURSING AND REHAB CARE CTR,Suffolk,NY,Non profit,
PECONIC LANDING AT SOUTHOLD,Suffolk,NY,Non profit,
SULLIVAN COUNTY ADULT CARE CENTER,Sullivan,NY,Government,
MARTINE CENTER FOR REHABILITATION AND NURSING,Westchester,NY,For profit,
NORTH WESTCHESTER RESTORATIVE THERAPY & NRSG CRT,Westchester,NY,For profit,
REGENCY EXTENDED CARE CENTER,Westchester,NY,For profit,
ST CABRINI NURSING HOME,Westchester,NY,Non profit,
"THE NEW JEWISH HOME, SARAH NEUMAN",Westchester,NY,Non profit,
THE WARTBURG HOME,Westchester,NY,Non profit,
WESTCHESTER CENTER FOR REHABILITATION & NURSING,Westchester,NY,For profit,
MANORCARE HEALTH SERVICES - PARMA,Cuyahoga,OH,Non profit,
MILL RUN CARE CENTER,Franklin,OH,For profit,
MAIN STREET CARE CENTER,Lorain,OH,For profit,
ORCHARD VILLA,Lucas,OH,For profit,
KOESTER PAVILION,Miami,OH,Non profit,
SPRINGMEADE HEALTHCENTER,Miami,OH,Non profit,YES
OHIO LIVING ROCKYNOL,Summit,OH,Non profit,YES
GLENDORA HEALTH CARE CENTER,Wayne,OH,For profit,
BROOKHAVEN EXTENSIVE CARE,Cleveland,OK,For profit,
GRACE LIVING CENTER-NORMAN,Cleveland,OK,For profit,YES
HOLIDAY HEIGHTS HEALTHCARE,Cleveland,OK,For profit,YES
MEDICAL PARK WEST REHABILITATION & SKILLED CARE,Cleveland,OK,For profit,YES
NOBLE HEALTH CARE CENTER,Cleveland,OK,Government,YES
BEACON RIDGE,Creek,OK,For profit,
SEILING NURSING CENTER,Dewey,OK,Government,YES
GRACE LIVING CENTER-MANGUM,Greer,OK,For profit,
PONCA CITY NURSING & REHABILITATION CENTER,Kay,OK,For profit,YES
BROADWAY MANOR NURSING HOME,Muskogee,OK,For profit,
CAPITOL HILL SKILLED NURSING AND THERAPY,Oklahoma,OK,For profit,YES
CROSS TIMBERS NURSING AND REHABILIATION,Oklahoma,OK,For profit,
PARCWAY,Oklahoma,OK,For profit,
"SKIATOOK NURSING HOME,LLC",Osage,OK,For profit,YES
NEW HOPE RETIREMENT & CARE CENTER,Pittsburg,OK,For profit,
FRANCISCAN VILLA,Tulsa,OK,For profit,
"OKLAHOMA METHODIST MANOR, INC.",Tulsa,OK,Non profit,
THE VILLAGES AT SOUTHERN HILLS,Tulsa,OK,For profit,
COWETA MANOR NURSING HOME,Wagoner,OK,For profit,
BARTLESVILLE HEALTH AND REHABILITATION COMMUNITY,Washington,OK,For profit,
CORVALLIS MANOR,Benton,OR,For profit,YES
LEBANON VETERANS HOME,Linn,OR,Non profit,
MARQUIS MARIAN ESTATES,Marion,OR,For profit,YES
THE OAKS AT SHERWOOD PARK,Marion,OR,For profit,YES
FRIENDSHIP HEALTH CENTER,Multnomah,OR,Non profit,
HEALTHCARE AT FOSTER CREEK,Multnomah,OR,For profit,
LAURELHURST VILLAGE,Multnomah,OR,For profit,
MARQUIS MILL PARK,Multnomah,OR,For profit,
VILLAGE HEALTH CARE,Multnomah,OR,For profit,
OREGON VETERANS HOME,Wasco,OR,Non profit,
AVAMERE REHABILITATION OF HILLSBORO,Washington,OR,For profit,YES
JOHN J KANE REGIONAL CENTER-GL,Allegheny,PA,Government,
ST BARNABAS NURSING HOME,Allegheny,PA,Non profit,
BRIGHTON REHABILITATION AND WELLNESS CENTER,Beaver,PA,For profit,YES
BRETHREN VILLAGE,Lancaster,PA,Non profit,
GARDEN SPOT VILLAGE,Lancaster,PA,Non profit,
HAMILTON ARMS CENTER,Lancaster,PA,For profit,
"HOMESTEAD VILLAGE, INC",Lancaster,PA,Non profit,
LANDIS HOMES,Lancaster,PA,Non profit,
MANORCARE HEALTH SERVICES-LANCASTER,Lancaster,PA,Non profit,
"MENNONITE HOME, THE",Lancaster,PA,Non profit,YES
PLEASANT VIEW COMMUNITIES,Lancaster,PA,Non profit,
LEHIGH CENTER,Lehigh,PA,For profit,
NORTHAMPTON COUNTY-GRACEDALE,Northampton,PA,Government,
RENAISSANCE HEALTHCARE & REHABILITATION CENTER,Philadelphia,PA,For profit,
RIVERVIEW HEALTHCARE COMMUNITY,Kent,RI,For profit,YES
GOLDEN CREST NURSING CENTRE,Providence,RI,For profit,
MOUNT ST RITA HEALTH CENTRE,Providence,RI,Non profit,YES
OAK HILL HEALTH & REHABILITATION CENTER,Providence,RI,For profit,
OAKLAND GROVE HEALTH CARE CENTER,Providence,RI,For profit,
ORCHARD VIEW MANOR,Providence,RI,For profit,
SCALABRINI VILLA,Washington,RI,Non profit,
L.M.C.- EXTENDED CARE,Lexington,SC,Government,YES
AHC CUMBERLAND,Davidson,TN,For profit,
NASHVILLE COMMUNITY CARE & REHABILITATION AT BORDE,Davidson,TN,For profit,YES
TREVECCA CENTER FOR REHABILITATION AND HEALING LLC,Davidson,TN,For profit,
AHC FOREST COVE,Madison,TN,For profit,YES
SIGNATURE HEALTHCARE OF PUTNAM COUNTY,Putnam,TN,For profit,
CHRISTIAN CARE CENTER OF MEMPHIS,Shelby,TN,For profit,
PARKWAY HEALTH AND REHABILITATION CENTER,Shelby,TN,For profit,
THE KINGS DAUGHTERS AND SONS,Shelby,TN,Non profit,
"GALLATIN HEALTH CARE CENTER, LLC",Sumner,TN,For profit,YES
NHC PLACE SUMNER,Sumner,TN,For profit,
"NHC HEALTHCARE, FRANKLIN",Williamson,TN,For profit,
NHC PLACE AT COOL SPRINGS,Williamson,TN,For profit,
SOMERFIELD AT THE HERITAGE,Williamson,TN,For profit,
SOUTHEAST NURSING & REHABILITATION CENTER,Bexar,TX,For profit,YES
VERANDA REHABILITATION AND HEALTHCARE,Cameron,TX,For profit,YES
SKYLINE NURSING CENTER,Dallas,TX,For profit,YES
THE RESERVE AT RICHARDSON,Dallas,TX,For profit,
PARK MANOR OF QUAIL VALLEY,Fort Bend,TX,For profit,
THE RESORT AT TEXAS CITY,Galveston,TX,For profit,
THE HEIGHTS OF TOMBALL,Harris,TX,For profit,YES
WHISPERWOOD NURSING & REHABILITATION CENTER,Lubbock,TX,For profit,
THE HEIGHTS OF TYLER,Smith,TX,For profit,
BROOKDALE WESTLAKE HILLS,Travis,TX,For profit,
PARK MANOR BEE CAVE,Travis,TX,For profit,
PINE CREEK REHABILITATION AND NURSING,Salt Lake,UT,For profit,
MT OGDEN HEALTH AND REHABILITATION CENTER,Weber,UT,Government,
CANTERBURY REHABILITATION & HEALTH CARE CENTER,Goochland,VA,For profit,YES
WESTMINSTER-CANTERBURY OF RICHMOND,Henrico,VA,Non profit,
CENTERS FOR LIVING AND REHAB,Bennington,VT,Non profit,
BIRCHWOOD TERRACE REHAB & HEALTHCARE,Chittenden,VT,For profit,
BURLINGTON HEALTH & REHAB,Chittenden,VT,For profit,
LIFE CARE CENTER OF RICHLAND,Benton,WA,For profit,
REGENCY CANYON LAKES REHAB AND NURSING CENTER,Benton,WA,For profit,
MANORCARE HEALTH SERVICES - SALMON CREEK,Clark,WA,Non profit,
PRESTIGE CARE & REHABILITATION - CAMAS,Clark,WA,For profit,YES
VANCOUVER SPECIALTY AND REHAB CARE,Clark,WA,For profit,YES
AVALON HEALTH & REHABILITATION CENTER - PASCO,Franklin,WA,For profit,YES
COLUMBIA CREST CENTER,Grant,WA,For profit,
CAREAGE OF WHIDBEY,Island,WA,For profit,YES
BAILEY-BOUSHAY HOUSE,King,WA,Non profit,
BALLARD CENTER,King,WA,For profit,YES
BENSON HEIGHTS REHABILITATION CENTER,King,WA,For profit,
CAROLINE KLINE GALLAND HOME,King,WA,Non profit,
COLUMBIA LUTHERAN HOME,King,WA,Non profit,
CRISTA REHAB & SKILLED CARE,King,WA,Non profit,YES
ENUMCLAW HEALTH & REHAB CENTER,King,WA,For profit,YES
"FIRCREST SCHOOL, PAT N",King,WA,Government,
FOSS HOME & VILLAGE,King,WA,Non profit,
GARDEN TERRACE HEALTHCARE CENTER OF FEDERAL WAY,King,WA,For profit,
HALLMARK MANOR,King,WA,For profit,
"HEARTHSTONE, THE",King,WA,Non profit,
ISSAQUAH NURSING AND REHABILITATION CENTER,King,WA,For profit,YES
JUDSON PARK HEALTH CENTER,King,WA,Non profit,
KIN ON HEALTH CARE CENTER,King,WA,Non profit,YES
LEA HILL REHABILITATION AND CARE CENTER,King,WA,Non profit,YES
LIFE CARE CENTER OF KIRKLAND,King,WA,For profit,
MISSION HEALTHCARE AT BELLEVUE,King,WA,For profit,
PARK RIDGE CARE CENTER,King,WA,For profit,
PROVIDENCE MOUNT ST VINCENT,King,WA,Non profit,
QUEEN ANNE HEALTHCARE,King,WA,For profit,
REDMOND CARE AND REHABILITATION CENTER,King,WA,For profit,
RENTON NURSING AND REHABILITATION CENTER,King,WA,For profit,YES
RICHMOND BEACH REHAB,King,WA,For profit,YES
SEA MAR COMMUNITY CARE CENTER,King,WA,Non profit,YES
SHORELINE HEALTH AND REHABILITATION,King,WA,For profit,YES
STAFFORD HEALTHCARE,King,WA,For profit,
THE OAKS AT FOREST BAY,King,WA,For profit,YES
WASHINGTON CENTER FOR COMPREHE,King,WA,Non profit,YES
AVAMERE TRANSITIONAL CARE OF PUGET SOUND,Pierce,WA,For profit,
HEARTWOOD EXTENDED HEALTHCARE,Pierce,WA,For profit,YES
LIFE CARE CENTER OF PUYALLUP,Pierce,WA,For profit,YES
LIFE CARE CENTER OF SOUTH HILL,Pierce,WA,For profit,
"MANOR CARE OF GIG HARBOR WA, LLC",Pierce,WA,Non profit,
PARK ROSE CARE CENTER,Pierce,WA,For profit,YES
TACOMA LUTHERAN RETIREMENT COMMUNITY,Pierce,WA,Non profit,
LIFE CARE CENTER OF MOUNT VERNON,Skagit,WA,For profit,YES
LIFE CARE CENTER OF SKAGIT VALLEY,Skagit,WA,For profit,YES
PRESTIGE CARE & REHABILITATION - BURLINGTON,Skagit,WA,For profit,YES
SOUNDVIEW REHABILTATION AND HEALTH CARE INC,Skagit,WA,For profit,YES
ALDERCREST HEALTH & REHAB CENTER,Snohomish,WA,For profit,YES
BETHANY AT PACIFIC,Snohomish,WA,Non profit,YES
BETHANY AT SILVER LAKE,Snohomish,WA,For profit,YES
JOSEPHINE CARING COMMUNITY,Snohomish,WA,Non profit,YES
LYNNWOOD POST ACUTE REHABILITATION CENTER,Snohomish,WA,For profit,
PRESTIGE POST-ACUTE AND REHAB CENTER - EDMONDS,Snohomish,WA,For profit,YES
SNOHOMISH HEALTH AND REHABILITATION,Snohomish,WA,For profit,YES
SUNRISE VIEW CONVALESCENT CTR,Snohomish,WA,For profit,YES
CHENEY CARE CENTER,Spokane,WA,Non profit,
ROCKWOOD AT HAWTHORNE,Spokane,WA,Non profit,YES
SPOKANE VETERANS HOME,Spokane,WA,Government,YES
SULLIVAN PARK CARE CENTER,Spokane,WA,For profit,
OLYMPIA TRANSITIONAL CARE AND REHABILITATION,Thurston,WA,For profit,
GOOD SAMARITAN SOCIETY - STAFHOLT,Whatcom,WA,Non profit,
SHUKSAN HEALTHCARE CENTER,Whatcom,WA,For profit,YES
"CRESCENT HEALTH CARE, INC",Yakima,WA,For profit,
GARDEN VILLAGE,Yakima,WA,Non profit,YES
GOOD SAMARITAN HEALTH CARE CTR,Yakima,WA,For profit,
PRESTIGE CARE & REHABILITATION - PARKSIDE,Yakima,WA,For profit,YES
SUMMITVIEW HEALTHCARE CENTER,Yakima,WA,Non profit,
TOPPENISH NURSING & REHAB CENTER,Yakima,WA,For profit,
WILLOW SPRINGS CARE AND REHABILITATION,Yakima,WA,For profit,YES
OAKWOOD LUTHERAN HOMES ASSOC,Dane,WI,Non profit,YES
NORTH CENTRAL HEALTH CARE,Marathon,WI,Government,
OAK PARK PLACE OF JANESVILLE,Rock,WI,For profit,
"SUNNY RIDGE NURSING AND REHABILITATION CENTER, LLC",Sheboygan,WI,For profit,YES
VIRGINIA HIGHLANDS HLTH AND REHAB,Washington,WI,For profit,
EASTBROOK CENTER,Kanawha,WV,For profit,YES
SUNDALE NURSING HOME,Monongalia,WV,Non profit,
WAYNE NURSING AND REHABILITATION CENTER,Wayne,WV,For profit,
