Facilities with Publicly Reported Coronavirus Cases,,,
"Thousands of deaths from the coronavirus have been linked to nursing homes in recent weeks, but the federal government and many states have not identified the providers. Through media accounts and state health departments, The Post was able to identify more than 2,500 nursing homes that have had publicly reported cases of the virus among residents or staff as of Monday morning.

Note: With many states not releasing the names of facilities, the actual number of nursing homes impacted by the virus is likely far higher.                                ",,,
NORLITE NURSING CENTER,Marquette,MI,For profit
BRITTANY MANOR,Midland,MI,For profit
FOUNTAIN VIEW OF MONROE,Monroe,MI,For profit
BEAUMONT REHAB & CONTINUING CARE FARMINGTON HILLS,Oakland,MI,Non profit
BELLBROOK,Oakland,MI,Non profit
BLOOMFIELD ORCHARD VILLA,Oakland,MI,For profit
CAMBRIDGE NORTH HEALTHCARE CENTER,Oakland,MI,For profit
CAMBRIDGE SOUTH HEALTHCARE CTR,Oakland,MI,For profit
CANTERBURY ON THE LAKE,Oakland,MI,Non profit
EVERGREEN HEALTH AND REHABILITATION CENTER,Oakland,MI,For profit
HEARTLAND HEALTH CARE CENTER-OAKLAND,Oakland,MI,Non profit
LAHSER HILLS CARE CENTRE,Oakland,MI,For profit
LAKE ORION NURSING CENTER,Oakland,MI,Non profit
LAKELAND CENTER (THE),Oakland,MI,For profit
LOURDES REHABILITATION AND HEALTHCARE CENTER,Oakland,MI,Non profit
MARVIN & BETTY DANTO FAMILY HEALTH CARE CENTER,Oakland,MI,Non profit
MEDILODGE OF FARMINGTON,Oakland,MI,For profit
"MEDILODGE OF ROCHESTER HILLS, INC",Oakland,MI,For profit
MEDILODGE OF SOUTHFIELD,Oakland,MI,For profit
MISSION POINT NURSING AND REHAB CENTER OF HOLLY,Oakland,MI,For profit
NOTTING HILL OF WEST BLOOMFIELD,Oakland,MI,For profit
OAKRIDGE MANOR NURSING & REHAB CENTER LLC,Oakland,MI,For profit
POMEROY LIVING ROCHESTER SKILLED REHABILITATION,Oakland,MI,For profit
SKLD BLOOMFIELD HILLS,Oakland,MI,For profit
THE MANOR OF NOVI,Oakland,MI,For profit
THE VILLA AT GREEN LAKE ESTATES,Oakland,MI,For profit
THE VILLA AT SILVERBELL ESTATES,Oakland,MI,For profit
WELLBRIDGE OF CLARKSTON,Oakland,MI,For profit
"WELLBRIDGE OF NOVI, LLC",Oakland,MI,For profit
WEST BLOOMFIELD HEALTH AND REHABILITATION CENTER,Oakland,MI,For profit
WOODWARD HILLS HEALTH AND REHABILITATION CTR,Oakland,MI,For profit
"INN AT FREEDOM VILLAGE, THE",Ottawa,MI,For profit
MEDILODGE OF ROGERS CITY,Presque Isle,MI,For profit
CHESANING NURSING AND REHABILITATION CENTER,Saginaw,MI,For profit
GREAT LAKES REHAB CENTER,Saginaw,MI,For profit
HOYT NURSING & REHAB CENTRE,Saginaw,MI,For profit
SAMARITAS SENIOR LIVING SAGINAW,Saginaw,MI,Non profit
WELLSPRING LUTHERAN SERVICES,Saginaw,MI,Non profit
"DURAND SENIOR CARE AND REHAB CENTER, L L C",Shiawassee,MI,For profit
MEDILODGE OF PORT HURON,St. Clair,MI,For profit
MEDILODGE OF ST CLAIR,St. Clair,MI,For profit
MEDILODGE OF CASS CITY,Tuscola,MI,For profit
TUSCOLA COUNTY MEDICAL CARE FACILITY,Tuscola,MI,Government
CHELSEA RETIREMENT COMMUNITY,Washtenaw,MI,Non profit
HEARTLAND HEALTH CARE CENTER-ANN ARBOR,Washtenaw,MI,Non profit
REGENCY AT BLUFFS PARK,Washtenaw,MI,For profit
THE VILLA AT PARKRIDGE,Washtenaw,MI,For profit
ADVANTAGE LIVING CENTER - HARPER WOODS,Wayne,MI,For profit
ADVANTAGE LIVING CENTER - WAYNE,Wayne,MI,For profit
AERIUS HEALTH CENTER,Wayne,MI,For profit
"AMBASSADOR, A VILLA CENTER",Wayne,MI,For profit
APPLEWOOD NURSING CENTER INC,Wayne,MI,For profit
BELLE FOUNTAIN NURSING & REHABILITATION CENTER,Wayne,MI,For profit
"BOULEVARD TEMPLE CARE CENTER, LLC",Wayne,MI,For profit
CHERRY HILL FOR NURSING AND REHABILITATION,Wayne,MI,For profit
FAIRLANE SENIOR CARE AND REHAB CENTER,Wayne,MI,For profit
FOUR CHAPLAINS NRSG CARE CTR,Wayne,MI,For profit
FOUR SEASONS NURSING CENTER OF WESTLAND,Wayne,MI,For profit
HARTFORD NURSING & REHABILITATION CENTER,Wayne,MI,For profit
HEARTLAND HEALTH CARE CENTER - GROSSE POINTE WOODS,Wayne,MI,Non profit
HEARTLAND HEALTH CARE CENTER-ALLEN PARK,Wayne,MI,Non profit
HEARTLAND HEALTH CARE CENTER-CANTON,Wayne,MI,Non profit
HEARTLAND HEALTH CARE CENTER-DEARBORN HEIGHTS,Wayne,MI,Non profit
HEARTLAND HEALTH CARE CENTER-LIVONIA,Wayne,MI,Non profit
"HENRY FORD VILLAGE, INC",Wayne,MI,Non profit
HERITAGE MANOR NURSING AND REHAB CENTER,Wayne,MI,For profit
"IMPERIAL, A VILLA CENTER",Wayne,MI,For profit
MARYCREST MANOR,Wayne,MI,Non profit
MEDILODGE OF TAYLOR,Wayne,MI,For profit
OAKPOINTE SENIOR CARE AND REHAB CENTER,Wayne,MI,For profit
OMNI CONTINUING CARE,Wayne,MI,For profit
REGENCY AT CANTON,Wayne,MI,For profit
REGENCY AT LIVONIA,Wayne,MI,For profit
REGENCY HEIGHTS-DETROIT,Wayne,MI,For profit
"REGENCY, A VILLA CENTER",Wayne,MI,For profit
RIVERGATE HEALTH CARE CENTER,Wayne,MI,For profit
RIVERGATE TERRACE,Wayne,MI,For profit
RIVERVIEW HEALTH & REHAB CENTER,Wayne,MI,For profit
SKLD LIVONIA,Wayne,MI,For profit
SKLD PLYMOUTH,Wayne,MI,For profit
THE BAY AT ELMWOOD HEALTH & REHABILITATION CENTER,Wayne,MI,For profit
THE VILLA AT GREAT LAKES CROSSING,Wayne,MI,For profit
THE VILLA AT THE PARK,Wayne,MI,For profit
WEST OAKS SENIOR CARE & REHAB CENTER,Wayne,MI,For profit
"WESTLAND, A VILLA CENTER",Wayne,MI,For profit
ANOKA REHABILITATION AND LIVING CENTER,Anoka,MN,Non profit
CAMILIA ROSE CARE CENTER LLC,Anoka,MN,For profit
ST JOHN LUTHERAN HOME,Brown,MN,Non profit
EVENTIDE LUTHERAN HOME,Clay,MN,Non profit
MOORHEAD REHABILITATION & HEALTHCARE CENTER,Clay,MN,For profit
AUGUSTANA CHAPEL VIEW CARE CENTER,Hennepin,MN,Non profit
BENEDICTINE HEALTH CENTER OF MINNEAPOLIS,Hennepin,MN,Non profit
BYWOOD EAST HEALTH CARE,Hennepin,MN,For profit
CATHOLIC ELDERCARE ON MAIN,Hennepin,MN,Non profit
CENTENNIAL GARDENS FOR NURSING & REHABILITATION,Hennepin,MN,For profit
COVENANT LIVING OF GOLDEN VALLEY CARE & REHAB CTR,Hennepin,MN,Non profit
EDENBROOK OF EDINA,Hennepin,MN,Non profit
FRIENDSHIP VILLAGE OF BLOOMINGTON,Hennepin,MN,Non profit
GOOD SAMARITAN AMBASSADOR,Hennepin,MN,Non profit
HOPKINS HEALTH SERVICES,Hennepin,MN,For profit
JONES HARRISON RESIDENCE,Hennepin,MN,Non profit
MARTIN LUTHER CARE CENTER,Hennepin,MN,For profit
MINNESOTA MASONIC HOME CARE CENTER,Hennepin,MN,Non profit
MN VETERANS HOME MINNEAPOLIS,Hennepin,MN,Government
MOUNT OLIVET CAREVIEW HOME,Hennepin,MN,Non profit
NORTH RIDGE HEALTH AND REHAB,Hennepin,MN,For profit
PRESBYTERIAN HOMES OF BLOOMINGTON,Hennepin,MN,For profit
PROVIDENCE PLACE,Hennepin,MN,Non profit
SAINT THERESE AT OXBOW LAKE,Hennepin,MN,Non profit
SHOLOM HOME WEST,Hennepin,MN,Non profit
THE BIRCHES AT TRILLIUM WOODS,Hennepin,MN,For profit
THE ESTATES AT EXCELSIOR LLC,Hennepin,MN,For profit
THE VILLA AT BRYN MAWR,Hennepin,MN,For profit
THE VILLA AT ST LOUIS PARK,Hennepin,MN,For profit
WALKER METHODIST HEALTH CENTER,Hennepin,MN,Non profit
GOOD SAMARITAN SOCIETY - INTERNATIONAL FALLS,Koochiching,MN,Non profit
"MEEKER MANOR REHABILITATION CENTER, LLC",Meeker,MN,For profit
PARKVIEW MANOR NURSING HOME,Nobles,MN,Government
CHARTER HOUSE,Olmsted,MN,Non profit
ROCHESTER EAST HEALTH SERVICES,Olmsted,MN,For profit
ROCHESTER REHABILITATION AND LIVING CENTER,Olmsted,MN,Non profit
BENEDICTINE HEALTH CENTER INNSBRUCK,Ramsey,MN,Non profit
CAPITOL VIEW TRANSITIONAL CARE CENTER,Ramsey,MN,Non profit
CERENITY CARE CENTER ON HUMBOLDT,Ramsey,MN,Non profit
GALTIER A VILLA CENTER,Ramsey,MN,For profit
NEW BRIGHTON A VILLA CENTER,Ramsey,MN,For profit
NEW BRIGHTON CARE CENTER,Ramsey,MN,For profit
PRESBYTERIAN HOMES OF ARDEN HILLS,Ramsey,MN,Non profit
ROSE OF SHARON A VILLA CENTER,Ramsey,MN,For profit
THE EMERALDS AT ST PAUL LLC,Ramsey,MN,For profit
THE ESTATES AT ROSEVILLE LLC,Ramsey,MN,For profit
NORTHFIELD CARE CENTER INC,Rice,MN,Non profit
GABLES OF BOUTWELLS LANDING,Washington,MN,Non profit
WOODBURY HEALTH CARE CENTER,Washington,MN,Non profit
ST FRANCIS HOME,Wilkin,MN,Non profit
SAUER HEALTH CARE,Winona,MN,Non profit
THE ESTATES AT DELANO LLC,Wright,MN,For profit
GRANDVIEW HEALTHCARE CENTER,Franklin,MO,For profit
FRONTIER HEALTH & REHABILITATION,St. Charles,MO,For profit
DELMAR GARDENS NORTH,St. Louis,MO,For profit
LIFE CARE CENTER OF ST LOUIS,St. Louis City,MO,For profit
DIVERSICARE OF AMORY,Monroe,MS,For profit
"CARRINGTON, LLC D/B/A THE CARRINGTON",Oktibbeha,MS,For profit
MS CARE CENTER OF RALEIGH,Smith,MS,For profit
"TUNICA COUNTY HEALTH & REHAB, LLC",Tunica,MS,For profit
MARIAS CARE CENTER,Toole,MT,For profit
GRACE HEIGHTS HEALTH & REHABILITATION,Burke,NC,For profit
VILLAGE GREEN HEALTH AND REHABILITATION,Cumberland,NC,For profit
DURHAM NURSING & REHABILITATION CENTER,Durham,NC,For profit
PRUITTHEALTH-CAROLINA POINT,Durham,NC,For profit
TREYBURN REHABILITATION CENTER,Durham,NC,For profit
LOUISBURG HEALTHCARE & REHABILITATION CENTER,Franklin,NC,For profit
SPRINGBROOK NURSING & REHABILITATION  CENTER,Johnston,NC,For profit
AUTUMN CARE OF CORNELIUS,Mecklenburg,NC,For profit
CARRINGTON PLACE,Mecklenburg,NC,For profit
HUNTER WOODS NURSING AND REHAB,Mecklenburg,NC,For profit
HUNTERSVILLE OAKS,Mecklenburg,NC,Non profit
PAVILION HEALTH CENTER AT BRIGHTMORE,Mecklenburg,NC,For profit
PINEHURST HEALTHCARE & REHAB,Moore,NC,For profit
WHITE OAK MANOR - TRYON,Polk,NC,For profit
WELLINGTON REHABILITATION AND HEALTHCARE,Wake,NC,For profit
ROSEWOOD ON BROADWAY,Cass,ND,Non profit
THE MEADOWS ON UNIVERSITY,Cass,ND,For profit
VALLEY SENIOR LIVING ON COLUMBIA,Grand Forks,ND,Non profit
SUNSET DRIVE - A PROSPERA COMMUNITY,Morton,ND,Non profit
DOUGLAS COUNTY HEALTH CENTER,Douglas,NE,Government
ST. JOSEPH'S REHABILITATION & CARE CENTER,Madison,NE,Non profit
PAPILLION MANOR,Sarpy,NE,Non profit
HANOVER HILL HEALTH CARE CENTER,Hillsborough,NH,For profit
DERRY CENTER FOR REHABILITATION AND HEALTHCARE,Rockingham,NH,For profit
PLEASANT VALLEY NURSING CENTER,Rockingham,NH,For profit
"COMPLETE CARE AT LINWOOD, LLC",Atlantic,NJ,For profit
EGG HARBOR CARE CENTER,Atlantic,NJ,For profit
HAMMONTON CENTER FOR REHABILITATION AND HEALTHCARE,Atlantic,NJ,For profit
PREFERRED CARE AT ABSECON,Atlantic,NJ,For profit
RENAISSANCE PAVILION,Atlantic,NJ,Non profit
ROYAL SUITES HEALTH CARE & REHABILITATION,Atlantic,NJ,For profit
ALARIS HEALTH AT ROCHELLE PARK,Bergen,NJ,For profit
ALARIS HEALTH AT THE CHATEAU,Bergen,NJ,For profit
ALLENDALE NURSING HOME,Bergen,NJ,For profit
ARMENIAN NURSING AND REHABILITATION CENTER,Bergen,NJ,Non profit
ATRIUM POST ACUTE CARE OF PARK RIDGE,Bergen,NJ,For profit
BERGEN COUNTY HEALTH CARE CTR,Bergen,NJ,Government
BERGEN NEW BRIDGE  MEDICAL CENTER,Bergen,NJ,Government
"BUCKINGHAM AT NORWOOD, THE",Bergen,NJ,For profit
CARE ONE AT CRESSKILL,Bergen,NJ,For profit
CARE ONE AT NEW MILFORD,Bergen,NJ,For profit
CARE ONE AT ORADELL,Bergen,NJ,For profit
CARE ONE AT RIDGEWOOD AVENUE,Bergen,NJ,For profit
CARE ONE AT TEANECK,Bergen,NJ,For profit
CARE ONE AT VALLEY,Bergen,NJ,For profit
CARE ONE AT WELLINGTON,Bergen,NJ,For profit
CHRISTIAN HEALTH CARE CENTER,Bergen,NJ,Non profit
COUNTY MANOR REHABILITATION & HCC,Bergen,NJ,For profit
DELLRIDGE HEALTH & REHABILITATION CENTER,Bergen,NJ,For profit
EMERSON HEALTH CARE CENTER,Bergen,NJ,For profit
FAMILY OF CARING HEALTHCARE AT RIDGEWOOD,Bergen,NJ,For profit
HACKENSACK MERIDIAN HEALTH NURSING & REHAB,Bergen,NJ,Non profit
HACKENSACK MERIDIAN HEALTH PROSPECT HEIGHTS CARE C,Bergen,NJ,For profit
JEWISH HOME AT ROCKLEIGH,Bergen,NJ,Non profit
MAPLE GLEN CENTER,Bergen,NJ,For profit
MAYWOOD CENTER FOR HEALTH AND REHABILITATION,Bergen,NJ,For profit
N J VETERANS MEM HOME PARAMUS,Bergen,NJ,Government
OAKLAND REHABILITATION AND HEALTHCARE  CENTER,Bergen,NJ,For profit
RIDGEWOOD CENTER,Bergen,NJ,For profit
TEANECK NURSING CENTER,Bergen,NJ,For profit
WOODCLIFF LAKE HEALTH & REHABILITATION CENTER,Bergen,NJ,For profit
ASPEN HILLS HEALTHCARE CENTER,Burlington,NJ,For profit
BURLINGTON WOODS,Burlington,NJ,For profit
CARE ONE AT EVESHAM,Burlington,NJ,For profit
CARE ONE AT MOORESTOWN,Burlington,NJ,For profit
LAUREL BROOK REHABILITATION AND HEALTHCARE CENTER,Burlington,NJ,For profit
LUTHERAN CROSSINGS ENHANCED LIVING AT MOORESTOWN,Burlington,NJ,Non profit
MARCELLA CENTER,Burlington,NJ,For profit
MASONIC VILLAGE AT BURLINGTON,Burlington,NJ,Non profit
MEDFORD LEAS,Burlington,NJ,Non profit
POWERBACK REHABILITATION MOORESTOWN,Burlington,NJ,For profit
STERLING MANOR,Burlington,NJ,For profit
VIRTUA HEALTH & REHAB MT HOLLY,Burlington,NJ,Non profit
WILLOWBROOKE COURT SKILLED CARE AT EVERGREENS,Burlington,NJ,Non profit
WYNWOOD REHABILITATION AND HEALTHCARE CENTER,Burlington,NJ,For profit
ABIGAIL HOUSE FOR NURSING & REHABILITATION,Camden,NJ,For profit
AVISTA HEALTHCARE,Camden,NJ,For profit
BARCLAYS REHABILITATION AND HEALTHCARE CENTER,Camden,NJ,For profit
LAUREL MANOR HEALTHCARE AND REHABILITATION CENTER,Camden,NJ,For profit
LIONS GATE,Camden,NJ,Non profit
MANORCARE HEALTH SERVICES - VOORHEES,Camden,NJ,Non profit
PREMIER CADBURY OF CHERRY HILL,Camden,NJ,For profit
SILVER HEALTHCARE CENTER,Camden,NJ,For profit
ST MARY'S CENTER FOR REHABILITATION & HEALTHCARE,Camden,NJ,For profit
UNITED METHODIST COMMUNITIES AT COLLINGSWOOD,Camden,NJ,Non profit
"VOORHEES CARE & REHABILITATION CENTER, THE",Camden,NJ,For profit
VOORHEES CENTER,Camden,NJ,For profit
AUTUMN LAKE HEALTHCARE AT OCEANVIEW,Cape May,NJ,For profit
COURT HOUSE CENTER,Cape May,NJ,For profit
NORTH CAPE CENTER,Cape May,NJ,For profit
VICTORIA MANOR,Cape May,NJ,For profit
NEW JERSEY VETERANS MEMORIAL VINELAND,Cumberland,NJ,Government
ALARIS HEALTH AT CEDAR GROVE,Essex,NJ,For profit
ALARIS HEALTH AT ESSEX,Essex,NJ,For profit
ALARIS HEALTH AT ST MARY'S,Essex,NJ,For profit
ALARIS HEALTH AT WEST ORANGE,Essex,NJ,For profit
ARBOR GLEN CENTER,Essex,NJ,For profit
ATRIUM POST ACUTE CARE OF LIVINGSTON,Essex,NJ,For profit
BROADWAY HOUSE FOR CONTINUING,Essex,NJ,Non profit
BROOKHAVEN HEALTH CARE CENTER,Essex,NJ,For profit
CANTERBURY AT CEDAR GROVE,Essex,NJ,For profit
CARE ONE AT LIVINGSTON,Essex,NJ,For profit
COMPLETE CARE AT SUMMIT RIDGE,Essex,NJ,For profit
DAUGHTERS OF ISRAEL PLEASANT VALLEY HOME,Essex,NJ,Non profit
FAMILY OF CARING HEALTHCARE AT MONTCLAIR,Essex,NJ,For profit
FOREST HILL HEALTHCARE CENTER,Essex,NJ,For profit
GREEN HILL,Essex,NJ,Non profit
HACKENSACK MERIDIAN HEALTH WEST CALDWELL C,Essex,NJ,For profit
INGLEMOOR REHABILITATION AND CARE CENTER OF LIVING,Essex,NJ,For profit
JOB HAINES HOME FOR AGED PEOPL,Essex,NJ,Non profit
LUTHERAN SOCIAL MINISTRIES CRA,Essex,NJ,Non profit
MONTCLAIR CARE CENTER,Essex,NJ,For profit
NEW COMMUNITY EXTENDED CARE FACILITY,Essex,NJ,Non profit
NEW GROVE MANOR,Essex,NJ,For profit
NEW VISTA,Essex,NJ,For profit
PARK CRESCENT HEALTHCARE & REHABILITATION CENTER,Essex,NJ,For profit
SINAI POST ACUTE NURSING AND REHAB CENTER,Essex,NJ,For profit
ST CATHERINE OF SIENA,Essex,NJ,Non profit
ST JOSEPH'S HEALTHCARE AND REHAB CENTER,Essex,NJ,Non profit
STRATFORD MANOR REHABILITATION AND CARE CENTER,Essex,NJ,For profit
WATERVIEW CENTER,Essex,NJ,For profit
WHITE HOUSE HLTHCR & REHAB CTR,Essex,NJ,For profit
WINCHESTER GARDENS HEALTH CARE CENTER,Essex,NJ,Non profit
WINDSOR GARDENS CARE CENTER,Essex,NJ,For profit
DEPTFORD CENTER FOR REHABILITATION AND HEALTHCARE,Gloucester,NJ,For profit
MANORCARE HEALTH SERVICES-WEST DEPTFORD,Gloucester,NJ,Non profit
MEADOWVIEW NURSING & RESPIRATORY CARE,Gloucester,NJ,For profit
ALARIS HEALTH AT BELGROVE,Hudson,NJ,For profit
ALARIS HEALTH AT BOULEVARD EAST,Hudson,NJ,For profit
ALARIS HEALTH AT CASTLE HILL,Hudson,NJ,For profit
ALARIS HEALTH AT HAMILTON PARK,Hudson,NJ,For profit
ALARIS HEALTH AT JERSEY CITY,Hudson,NJ,For profit
ALARIS HEALTH AT KEARNY,Hudson,NJ,For profit
ALARIS HEALTH AT THE FOUNTAINS,Hudson,NJ,For profit
HARBORAGE (THE),Hudson,NJ,Non profit
"HUDSON HILLS SENIOR LIVING, LLC",Hudson,NJ,For profit
HUDSONVIEW HEALTH CARE CENTER,Hudson,NJ,For profit
MANHATTANVIEW NURSING HOME,Hudson,NJ,For profit
COUNTRY ARCH CARE CENTER,Hunterdon,NJ,For profit
HUNTERDON CARE CENTER,Hunterdon,NJ,For profit
ROLLING HILLS CARE CENTER,Hunterdon,NJ,For profit
ATRIUM POST ACUTE CARE OF HAMILTON,Mercer,NJ,For profit
ATRIUM POST ACUTE CARE OF PRINCETON,Mercer,NJ,For profit
CLOVER MEADOWS HEALTHCARE AND REHABILITATION CENTE,Mercer,NJ,For profit
GREENWOOD HOUSE HOME FOR THE JEWISH AGED,Mercer,NJ,Non profit
HAMILTON CONTINUING CARE,Mercer,NJ,Non profit
"HAMILTON GROVE HEALTHCARE AND REHABILITATION, LLC",Mercer,NJ,For profit
MEADOW LAKES,Mercer,NJ,Non profit
MERCERVILLE CENTER,Mercer,NJ,For profit
MORRIS HALL/ST JOSEPH'S NURSING CENTER,Mercer,NJ,Non profit
PREFERRED CARE AT MERCER,Mercer,NJ,For profit
PRINCETON CARE CENTER,Mercer,NJ,For profit
PROVIDENCE NURSING AND REHABILITATION CENTER,Mercer,NJ,For profit
ROYAL HEALTH GATE NRSG REHAB,Mercer,NJ,For profit
ST LAWRENCE REHAB CENTER,Mercer,NJ,Non profit
WATERS EDGE HEALTHCARE & REHAB,Mercer,NJ,For profit
ALAMEDA CENTER FOR REHABILITATION AND HEALTHCARE,Middlesex,NJ,For profit
AMBOY CARE CENTER,Middlesex,NJ,For profit
ARISTACARE AT CEDAR OAKS,Middlesex,NJ,For profit
BRIGHTON GARDENS OF EDISON,Middlesex,NJ,For profit
CARE ONE AT EAST BRUNSWICK,Middlesex,NJ,For profit
CARE ONE AT THE HIGHLANDS,Middlesex,NJ,For profit
CRANBURY CENTER,Middlesex,NJ,For profit
"ELMS OF CRANBURY, THE",Middlesex,NJ,For profit
"GARDENS AT MONROE HEALTHCARE AND REHABILITATION, T",Middlesex,NJ,For profit
HARTWYCK AT OAK TREE,Middlesex,NJ,Non profit
JFK HARTWYCK AT EDISON ESTATES,Middlesex,NJ,Non profit
MERWICK CARE & REHABILITATION CENTER,Middlesex,NJ,For profit
NEW JERSEY VETERANS MEMORIAL HOME MENLO,Middlesex,NJ,Government
PARK PLACE CENTER,Middlesex,NJ,For profit
"PREFERRED CARE AT OLD BRIDGE, LLC",Middlesex,NJ,For profit
REFORMED CHURCH HOME,Middlesex,NJ,Non profit
ROOSEVELT CARE CENTER,Middlesex,NJ,Government
ROOSEVELT CARE CENTER AT OLD BRIDGE,Middlesex,NJ,Government
ROSE MOUNTAIN CARE CENTER,Middlesex,NJ,For profit
"ST JOSEPH'S HOME AL & NC, INC",Middlesex,NJ,Non profit
SUMMER HILL NURSING HOME,Middlesex,NJ,For profit
"VENETIAN CARE & REHABILITATION CENTER, THE",Middlesex,NJ,For profit
VILLAGE POINT,Middlesex,NJ,Non profit
ALLAIRE REHAB & NURSING,Monmouth,NJ,For profit
ANCHOR CARE AND REHABILITATION CENTER,Monmouth,NJ,For profit
APPLEWOOD ESTATES,Monmouth,NJ,Non profit
ARNOLD WALTER NURSING HOME,Monmouth,NJ,For profit
"ATRIUM AT NAVESINK HARBOR, THE",Monmouth,NJ,Non profit
ATRIUM POST ACUTE CARE OF MATAWAN,Monmouth,NJ,For profit
BAYSHORE HEALTH CARE CENTER,Monmouth,NJ,Non profit
CARE ONE AT HOLMDEL,Monmouth,NJ,For profit
CARE ONE AT WALL,Monmouth,NJ,For profit
CORAL HARBOR REHABILITATION AND HEALTHCARE CENTER,Monmouth,NJ,For profit
GATEWAY CARE CENTER,Monmouth,NJ,For profit
HACKENSACK MERIDIAN HEALTH NURSING & REHAB,Monmouth,NJ,For profit
IMPERIAL CARE CENTER,Monmouth,NJ,For profit
JERSEY SHORE CENTER,Monmouth,NJ,For profit
JEWISH HOME FOR REHABILITATION AND NURSING,Monmouth,NJ,Non profit
KING MANOR CARE AND REHABILITATION CENTER,Monmouth,NJ,For profit
LAUREL BAY HEALTH & REHABILITATION CENTER,Monmouth,NJ,For profit
MADISON CENTER,Monmouth,NJ,For profit
"MANOR, THE",Monmouth,NJ,Non profit
MERIDIAN NURSING & REHAB AT SHREWSBURY,Monmouth,NJ,Non profit
MERIDIAN NURSING AND REHABILITATION AT OCEAN GROVE,Monmouth,NJ,Non profit
MERIDIAN SUBACUTE REHABILITATION,Monmouth,NJ,Non profit
MONMOUTH CARE CENTER,Monmouth,NJ,For profit
PINE BROOK CARE CENTER,Monmouth,NJ,For profit
PREFERRED CARE AT WALL,Monmouth,NJ,For profit
WARDELL GARDENS AT TINTON FALLS,Monmouth,NJ,For profit
WEDGWOOD GARDENS CARE CENTER,Monmouth,NJ,For profit
CARE ONE AT MADISON AVENUE,Morris,NJ,For profit
CARE ONE AT MORRIS,Morris,NJ,For profit
CEDAR CREST/MOUNTAINVIEW GARDENS,Morris,NJ,Non profit
CHATHAM HILLS SUBACUTE CARE CENTER,Morris,NJ,For profit
CHESHIRE HOME,Morris,NJ,Non profit
COMPLETE CARE AT MORRIS HILLS,Morris,NJ,For profit
HEATH VILLAGE,Morris,NJ,Non profit
HOLLY MANOR CENTER,Morris,NJ,For profit
LINCOLN PARK CARE CENTER,Morris,NJ,For profit
LINCOLN PARK RENAISSANCE REHAB & NURSING,Morris,NJ,For profit
MERRY HEART NURSING HOME,Morris,NJ,For profit
MORRIS VIEW HEALTHCARE CENTER,Morris,NJ,For profit
"OAKS AT DENVILLE, THE",Morris,NJ,Non profit
PINE ACRES CONVALESCENT CENTER,Morris,NJ,For profit
REGENCY GRANDE NURS & REHAB CE,Morris,NJ,For profit
TROY HILLS CENTER,Morris,NJ,For profit
"VILLA AT FLORHAM PARK, INC THE",Morris,NJ,Non profit
ARISTACARE AT MANCHESTER,Ocean,NJ,For profit
ARISTACARE AT WHITING,Ocean,NJ,For profit
ATLANTIC COAST REHAB & HEALTH,Ocean,NJ,For profit
BARNEGAT REHABILITATION AND NURSING CENTER,Ocean,NJ,For profit
BARTLEY HEALTHCARE NURSING & REHABILITATION,Ocean,NJ,For profit
CARE ONE AT JACKSON,Ocean,NJ,For profit
COMPLETE CARE AT ARBORS,Ocean,NJ,For profit
"COMPLETE CARE AT BEY LEA, LLC",Ocean,NJ,For profit
COMPLETE CARE AT GREEN ACRES,Ocean,NJ,For profit
COMPLETE CARE AT HOLIDAY CITY,Ocean,NJ,For profit
"COMPLETE CARE AT LAURELTON, LLC",Ocean,NJ,For profit
COMPLETE CARE AT SHORROCK HAVEN,Ocean,NJ,For profit
CONCORD HEALTHCARE & REHABILITATION CENTER,Ocean,NJ,For profit
CREST POINTE REHABILITATION AND HEALTHCARE CENTER,Ocean,NJ,For profit
CRYSTAL LAKE HLTHCARE & REHAB,Ocean,NJ,For profit
FOUNTAIN VIEW CARE CENTER,Ocean,NJ,For profit
HAMPTON RIDGE HEALTHCARE AND REHABILITATION,Ocean,NJ,For profit
HARROGATE,Ocean,NJ,Non profit
LEISURE CHATEAU REHABILITATION,Ocean,NJ,For profit
LEISURE PARK HEALTH CENTER,Ocean,NJ,For profit
MANAHAWKIN CONV CTR,Ocean,NJ,For profit
MERIDIAN NURSING AND REHABILITATION AT BRICK,Ocean,NJ,Non profit
ROSE GARDEN NURSING AND REHABILITATION CENTER,Ocean,NJ,For profit
SHORE MEADOWS REHAB & NURSING CENTER,Ocean,NJ,For profit
SOUTHERN OCEAN CENTER,Ocean,NJ,For profit
"SPRINGPOINT AT CRESTWOOD, INC",Ocean,NJ,Non profit
TALLWOODS CARE CENTER,Ocean,NJ,For profit
WILLOW SPRINGS REHABILITATION AND HEALTHCARE CTR,Ocean,NJ,For profit
ARBOR RIDGE REHABILITATION AND HEALTHCARE CENTER,Passaic,NJ,For profit
ATRIUM POST ACUTE CARE OF WAYNE,Passaic,NJ,For profit
ATRIUM POST ACUTE CARE OF WAYNEVIEW,Passaic,NJ,For profit
CARE ONE AT WAYNE - SNF,Passaic,NJ,For profit
CHESTNUT HILL CONV CENTER,Passaic,NJ,For profit
"COMPLETE CARE AT HAMILTON, LLC",Passaic,NJ,For profit
DAUGHTERS OF MIRIAM CENTER,Passaic,NJ,Non profit
HEALTH CENTER AT BLOOMINGDALE,Passaic,NJ,For profit
LAKELAND HEALTH CARE CENTER,Passaic,NJ,For profit
