Provider_Name,County,State,Ownership Type,Federal Provider Number
COMMUNITY CARE AND REHABILITATION CENTER,Riverside,CA,For profit,055409
COMMUNITY CARE ON PALM,Riverside,CA,For profit,555711
CORONA HEALTH CARE CENTER,Riverside,CA,For profit,055255
CYPRESS GARDENS CARE CENTER,Riverside,CA,For profit,056315
DESERT REGIONAL MEDICAL CENTER D/P SNF,Riverside,CA,For profit,555417
DESERT SPRINGS HEALTHCARE & WELLNESS CENTRE,Riverside,CA,For profit,555084
DEVONSHIRE CARE CENTER,Riverside,CA,For profit,056095
EXTENDED CARE HOSPITAL OF RIVERSIDE,Riverside,CA,For profit,056162
HIGHLAND SPRINGS CARE CENTER,Riverside,CA,For profit,555135
INDIO NURSING AND REHABILITATION CENTER,Riverside,CA,For profit,555742
JURUPA HILLS POST ACUTE,Riverside,CA,For profit,055581
MAGNOLIA REHABILITATION  & NURSING  CENTER,Riverside,CA,For profit,055474
MANORCARE HEALTH SERVICES-HEMET,Riverside,CA,Non profit,555297
MANORCARE HEALTH SERVICES-PALM DESERT,Riverside,CA,Non profit,555339
MISSION CARE CENTER,Riverside,CA,For profit,055542
MONTEREY PALMS HEALTH CARE CENTER,Riverside,CA,For profit,555403
PALM GROVE HEALTH CARE,Riverside,CA,Non profit,555740
PALM TERRACE CARE CENTER,Riverside,CA,For profit,555365
RAMONA REHABILITATION AND POST ACUTE CARE CENTER,Riverside,CA,For profit,056214
RANCHO MIRAGE HEALTH AND REHABILITATION CENTER,Riverside,CA,For profit,555247
RIVERSIDE POSTACUTE CARE,Riverside,CA,For profit,555330
RIVERWALK POST ACUTE,Riverside,CA,For profit,555017
THE GROVE CARE AND WELLNESS,Riverside,CA,For profit,555613
THE SPRINGS AT THE CARLOTTA,Riverside,CA,For profit,555226
THE VILLAGE HEALTHCARE CENTER,Riverside,CA,For profit,555463
VALENCIA GARDENS HEALTH CARE CENTER,Riverside,CA,For profit,555331
VILLA HEALTH CARE CENTER,Riverside,CA,For profit,555353
VISTA PACIFICA CENTER,Riverside,CA,For profit,05A264
VISTA PACIFICA CONVALESCENT HOSPITAL,Riverside,CA,For profit,055361
ACC CARE CENTER,Sacramento,CA,Non profit,555261
CASA COLOMA HEALTH CARE CENTER,Sacramento,CA,For profit,056495
ESKATON CARE CENTER FAIR OAKS,Sacramento,CA,Non profit,555153
ESKATON CARE CENTER GREENHAVEN,Sacramento,CA,Non profit,555098
ESKATON CARE CENTER MANZANITA,Sacramento,CA,Non profit,555083
MANORCARE HEALTH SERVICES (CITRUS HEIGHTS),Sacramento,CA,Non profit,555337
MID-TOWN OAKS POST-ACUTE,Sacramento,CA,For profit,055493
WINDSOR EL CAMINO CARE CENTER,Sacramento,CA,For profit,055402
WINDSOR ELK GROVE CARE AND REHABILITATION CENTER,Sacramento,CA,For profit,055308
APPLE VALLEY POST ACUTE CENTER,San Bernardino,CA,For profit,555476
ASISTENCIA VILLA REHABILITATION AND CARE CENTER,San Bernardino,CA,For profit,555379
CALIMESA POST ACUTE,San Bernardino,CA,For profit,056365
CEDAR MOUNTAIN POST ACUTE,San Bernardino,CA,For profit,555494
COMM. HOSP. OF SAN BERNARDINO DP SNF,San Bernardino,CA,Non profit,555522
COMMUNITY CONVALESCENT CENTER OF SAN BERNARDINO,San Bernardino,CA,Non profit,056107
COMMUNITY EXTENDED CARE HOSPITAL OF MONTCLAIR,San Bernardino,CA,For profit,056444
HERITAGE GARDENS HEALTH CARE CENTER,San Bernardino,CA,For profit,055183
HI-DESERT MEDICAL CENTER D/P SNF,San Bernardino,CA,For profit,555443
HIGHLAND CARE CENTER OF REDLANDS,San Bernardino,CA,For profit,055650
HIGHLAND PALMS HEALTHCARE CENTER,San Bernardino,CA,For profit,056024
INLAND CHRISTIAN HOME,San Bernardino,CA,Non profit,555108
LAS COLINAS POST ACUTE,San Bernardino,CA,For profit,055619
LAUREL CONVALESCENT HOSPITAL,San Bernardino,CA,For profit,056429
MEADOWS RIDGE CARE CENTER,San Bernardino,CA,For profit,555089
MILL CREEK MANOR,San Bernardino,CA,For profit,555025
ONTARIO HEALTHCARE CENTER,San Bernardino,CA,For profit,055707
PLYMOUTH VILLAGE,San Bernardino,CA,Non profit,055914
RECHE CANYON REGIONAL REHAB CENTER,San Bernardino,CA,For profit,555435
SPRING VALLEY POST ACUTE LLC,San Bernardino,CA,For profit,055076
TERRACINA POST ACUTE,San Bernardino,CA,For profit,555350
TOTALLY KIDS REHABILITATION HOSPITAL - D/P SNF,San Bernardino,CA,For profit,555587
VILLA MESA CARE CENTER,San Bernardino,CA,For profit,056136
AVOCADO POST ACUTE,San Diego,CA,For profit,555076
BALBOA NURSING & REHABILITATION CENTER,San Diego,CA,For profit,056105
BOULDER CREEK POST ACUTE,San Diego,CA,For profit,555206
BRIGHTON PLACE SPRING VALLEY,San Diego,CA,For profit,055685
COUNTRY HILLS POST ACUTE,San Diego,CA,For profit,555431
EDGEMOOR HOSPITAL,San Diego,CA,Government,055008
FREDERICKA MANOR CARE CENTER,San Diego,CA,Non profit,055354
GROSSMONT POST ACUTE CARE,San Diego,CA,For profit,055632
LA MESA HEALTHCARE CENTER,San Diego,CA,For profit,055488
LEMON GROVE CARE AND REHABILITATION CENTER,San Diego,CA,For profit,055182
PARADISE VALLEY HEALTH CARE,San Diego,CA,For profit,056388
PARKWAY HILLS NURSING & REHABILITATION,San Diego,CA,For profit,055078
POWAY HEALTHCARE CENTER,San Diego,CA,For profit,555136
REDWOOD TERRACE HEALTH CENTER,San Diego,CA,Non profit,555146
SAN DIEGO POST-ACUTE CENTER,San Diego,CA,For profit,555659
THE BRADLEY COURT,San Diego,CA,For profit,555140
THE SHORES POST-ACUTE,San Diego,CA,For profit,555585
THE SPRINGS AT PACIFIC REGENT,San Diego,CA,For profit,555739
VALLE VISTA CONVALESCENT HOSPITAL,San Diego,CA,For profit,055500
VETERANS HOME OF CALIFORNIA - CHULA VISTA,San Diego,CA,Government,555795
VICTORIA POST ACUTE CARE,San Diego,CA,For profit,555804
VILLA CORONADO D/P SNF,San Diego,CA,Non profit,055074
VILLA POMERADO D/P SNF,San Diego,CA,Non profit,555301
VILLA RANCHO BERNARDO CARE CENTER,San Diego,CA,For profit,555318
WINDSOR GARDENS CONV CENTER OF SAN DIEGO,San Diego,CA,For profit,055954
CENTRAL GARDENS POST ACUTE,San Francisco,CA,For profit,055280
HERITAGE ON THE MARINA,San Francisco,CA,Non profit,555888
JEWISH HOME & REHAB CENTER D/P SNF,San Francisco,CA,Non profit,055169
LAGUNA HONDA HOSPITAL & REHABILITATION CTR D/P SNF,San Francisco,CA,Government,555020
LAUREL HEIGHTS COMMUNITY CARE,San Francisco,CA,For profit,555869
PACIFIC HEIGHTS TRANSITIONAL CARE CENTER,San Francisco,CA,For profit,056176
SAN FRANCISCO HEALTH CARE,San Francisco,CA,For profit,056272
SAN FRANCISCO TOWERS,San Francisco,CA,Non profit,555728
ST. ANNE'S HOME,San Francisco,CA,Non profit,05A290
TUNNELL SKILLED NURSING & REHABILITATION CENTER,San Francisco,CA,For profit,056203
ZUCKERBERG SAN FRANCISCO GENERAL HOSP & TRAUMA SNF,San Francisco,CA,Government,555660
CLEARWATER HEALTHCARE CENTER,San Joaquin,CA,For profit,555307
DYCORA TRANSITIONAL HEALTH - WEBER OAKS,San Joaquin,CA,For profit,555105
"FULTON GARDENS POST ACUTE, LLC",San Joaquin,CA,For profit,055833
GOLDEN LIVING CENTER - HY-PANA,San Joaquin,CA,For profit,055201
PLYMOUTH SQUARE,San Joaquin,CA,Non profit,555692
ST JUDE CARE CENTER,San Joaquin,CA,For profit,055917
WAGNER HEIGHTS NURSING & REHABILITATION CENTER,San Joaquin,CA,For profit,555470
VINEYARD HILLS HEALTH CENTER,San Luis Obispo,CA,For profit,555220
BROOKSIDE SKILLED NURSING HOSPITAL,San Mateo,CA,Non profit,055188
CARLMONT GARDENS NURSING CENTER,San Mateo,CA,For profit,555657
PACIFICA NURSING AND REHAB CENTER,San Mateo,CA,For profit,056205
SETON MEDICAL CENTER D/P SNF,San Mateo,CA,Non profit,555235
ST. FRANCIS CONVALESCENT PAVILION,San Mateo,CA,For profit,056394
ST. FRANCIS HEIGHTS CONVALESCENT HOSPITAL,San Mateo,CA,For profit,055968
THE SEQUOIAS,San Mateo,CA,Non profit,055466
LOMPOC SKILLED NURSING & REHABILITATION CENTER,Santa Barbara,CA,For profit,555830
LOMPOC VALLEY MEDICAL CTR COMP CARE CTR D/P SNF,Santa Barbara,CA,Government,055256
MARIAN MEDICAL CENTER D/P SNF,Santa Barbara,CA,Non profit,555236
A GRACE SUB ACUTE & SKILLED CARE,Santa Clara,CA,For profit,056376
AMBERWOOD GARDENS,Santa Clara,CA,For profit,055750
CANYON SPRINGS POST-ACUTE,Santa Clara,CA,For profit,056082
CEDAR CREST NURSING AND REHABILITATION CENTER,Santa Clara,CA,For profit,555790
CHILDREN'S RECOVERY CENTER OF NO CA D/P SNF,Santa Clara,CA,For profit,555734
HEALTH CARE CTR AT THE FORUM AT RANCHO SAN ANTONIO,Santa Clara,CA,Non profit,555524
IDYLWOOD CARE CENTER,Santa Clara,CA,For profit,055211
LOS ALTOS SUB-ACUTE AND REHABILITATION CENTER,Santa Clara,CA,For profit,056116
MANORCARE HEALTH SERVICES (SUNNYVALE),Santa Clara,CA,Non profit,555444
MISSION DE LA CASA NURSING & REHABILITATION CENTER,Santa Clara,CA,For profit,555487
MISSION SKILLED NURSING & SUBACUTE CENTER,Santa Clara,CA,For profit,055645
MOUNTAIN VIEW HEALTHCARE CENTER,Santa Clara,CA,For profit,055316
MT. PLEASANT NURSING CENTER,Santa Clara,CA,For profit,555799
OUR LADY OF FATIMA VILLA,Santa Clara,CA,For profit,055435
SKYLINE HEALTHCARE CENTER - SAN JOSE,Santa Clara,CA,For profit,055318
THE TERRACES OF LOS GATOS,Santa Clara,CA,Non profit,555547
VALLEY HOUSE REHABILITATION CENTER,Santa Clara,CA,For profit,056069
VASONA CREEK HEALTHCARE CENTER,Santa Clara,CA,For profit,055798
VISTA MANOR NURSING CENTER,Santa Clara,CA,For profit,555483
VETERANS HOME OF CALIFORNIA - REDDING,Shasta,CA,Government,555891
WINDSOR VALLEJO NURSING & REHABILITATION CENTER,Solano,CA,For profit,056238
APPLE VALLEY POST-ACUTE REHAB,Sonoma,CA,For profit,055919
BRANDEL MANOR,Stanislaus,CA,Non profit,055635
CASA DE MODESTO,Stanislaus,CA,Non profit,555898
ENGLISH OAKS CONVALESCENT & REHABILITATION HOSPITA,Stanislaus,CA,For profit,555190
TURLOCK NURSING & REHABILITATION CENTER,Stanislaus,CA,For profit,555240
DINUBA HEALTHCARE,Tulare,CA,For profit,055448
LINDSAY GARDENS NURSING & REHABILITATION,Tulare,CA,For profit,555663
LINWOOD MEADOWS CARE CENTER,Tulare,CA,For profit,555125
REDWOOD SPRINGS HEALTHCARE CENTER,Tulare,CA,For profit,055604
SIERRA VALLEY REHAB CENTER,Tulare,CA,For profit,055568
TWIN OAKS REHABILITATION & NURSING CENTER,Tulare,CA,For profit,555861
CAMARILLO HEALTHCARE CENTER,Ventura,CA,For profit,555770
GLENWOOD CARE CENTER,Ventura,CA,For profit,555458
"GREENFIELD CARE CENTER OF FILLMORE, LLC",Ventura,CA,For profit,555066
OAKVIEW SKILLED NURSING,Ventura,CA,For profit,555857
ALDERSON CONVALESCENT HOSPITAL,Yolo,CA,For profit,055438
STOLLWOOD CONVALESCENT HOSPITAL,Yolo,CA,Non profit,056138
AVAMERE TRANSITIONAL CARE AND REHAB-MALLEY,Adams,CO,For profit,065196
AVAMERE TRANSITIONAL CARE AND REHABILITATION,Adams,CO,For profit,065240
AVIVA AT FITZSIMONS,Adams,CO,For profit,065430
CLEAR CREEK CARE CENTER,Adams,CO,For profit,065120
COLORADO STATE VETERANS HOME AT FITZSIMONS,Adams,CO,Government,065380
IRONDALE POST ACUTE,Adams,CO,For profit,065318
LOWRY HILLS CARE AND REHABILITATION,Adams,CO,For profit,065001
RIDGEVIEW POST ACUTE,Adams,CO,For profit,065283
ST ANDREWS VILLAGE-LTC,Adams,CO,For profit,065388
UNIVERSITY HEIGHTS REHAB AND CARE COMMUNITY,Adams,CO,For profit,065337
ADVANCED HEALTH CARE OF AURORA,Arapahoe,CO,For profit,065393
BERKLEY MANOR CARE CENTER,Arapahoe,CO,For profit,065223
BROOKDALE GREENWOOD VILLAGE,Arapahoe,CO,For profit,065376
"CENTER AT LOWRY, LLC",Arapahoe,CO,For profit,065419
CHERRELYN HEALTHCARE CENTER,Arapahoe,CO,For profit,065203
CHERRY CREEK NURSING CENTER,Arapahoe,CO,For profit,065146
GARDEN TERRACE ALZHEIMER'S CENTER OF EXCELLENCE,Arapahoe,CO,For profit,065266
HOLLY HEIGHTS CARE CENTER,Arapahoe,CO,For profit,065124
JULIA TEMPLE HEALTHCARE CENTER,Arapahoe,CO,For profit,065322
LIFE CARE CENTER OF AURORA,Arapahoe,CO,For profit,065332
LITTLETON CARE AND REHABILITATION CENTER,Arapahoe,CO,For profit,065320
ORCHARD PARK HEALTH CARE CENTER,Arapahoe,CO,For profit,065259
PEARL STREET HEALTH AND REHABILITATION CENTER,Arapahoe,CO,For profit,065208
"SUITES AT HOLLY CREEK CARE CENTER, THE",Arapahoe,CO,Non profit,065395
"SUITES AT SOMEREN GLEN CARE CENTER, THE",Arapahoe,CO,Non profit,065345
SUMMIT REHABILITATION AND CARE COMMUNITY,Arapahoe,CO,For profit,065176
BOULDER MANOR,Boulder,CO,For profit,065222
FRASIER MEADOWS HEALTH CARE CENTER,Boulder,CO,Non profit,065324
LIFE CARE CENTER OF LONGMONT,Boulder,CO,For profit,065282
MESA VISTA OF BOULDER,Boulder,CO,For profit,065052
PEAKS CARE CENTER THE,Boulder,CO,For profit,065189
POWERBACK REHABILITATION LAFAYETTE,Boulder,CO,For profit,065414
BROOMFIELD SKILLED NURSING AND REHABILITATION CTR,Broomfield,CO,For profit,065379
COLUMBINE MANOR CARE CENTER,Chaffee,CO,For profit,065220
AMBERWOOD COURT REHABILITATION AND CARE COMMUNITY,Denver,CO,For profit,065034
BRIARWOOD HEALTH CARE CENTER,Denver,CO,For profit,065255
BROOKSHIRE HOUSE REHABILITATION AND CARE COMMUNITY,Denver,CO,For profit,065242
DENVER NORTH CARE CENTER,Denver,CO,For profit,065323
FOREST STREET COMPASSIONATE CARE CENTER,Denver,CO,For profit,065387
HALLMARK NURSING CENTER,Denver,CO,For profit,065233
HEALTH CENTER AT FRANKLIN PARK,Denver,CO,Non profit,065213
HIGHLINE REHABILITATION AND CARE COMMUNITY,Denver,CO,For profit,065256
JEWELL CARE CENTER OF DENVER,Denver,CO,For profit,065230
JUNIPER VILLAGE - THE SPEARLY CENTER,Denver,CO,For profit,065327
MANORCARE HEALTH SERVICES-DENVER,Denver,CO,For profit,065241
MONACO PARKWAY HEALTH AND REHABILITATION CENTER,Denver,CO,For profit,065290
PARKVIEW CARE CENTER,Denver,CO,For profit,065299
POWERBACK REHABILITATION LAKEWOOD,Denver,CO,For profit,065400
"ROWAN COMMUNITY, INC",Denver,CO,For profit,065206
SLOAN'S LAKE REHABILITATION CENTER,Denver,CO,For profit,065404
ST PAUL HEALTH CENTER,Denver,CO,For profit,065009
SUITES AT CLERMONT PARK CARE CENTER,Denver,CO,Non profit,065344
CASTLE ROCK CARE CENTER,Douglas,CO,For profit,065285
CONTINUING CARE AT WIND CREST,Douglas,CO,Non profit,065409
"SUITES PARKER, THE",Douglas,CO,For profit,065405
ASPEN LIVING CENTER,El Paso,CO,For profit,065168
"LAUREL MANOR CARE CENTER, INC",El Paso,CO,Non profit,065246
PIKES PEAK CENTER,El Paso,CO,For profit,065415
TERRACE GARDENS HEALTHCARE CENTER,El Paso,CO,For profit,065172
CANON LODGE CARE CENTER,Fremont,CO,For profit,065217
GUNNISON VALLEY HEALTH SENIOR CARE CENTER,Gunnison,CO,Government,065144
ACCEL AT GOLDEN RIDGE,Jefferson,CO,For profit,065422
ALLISON CARE CENTER,Jefferson,CO,For profit,065297
CAMBRIDGE CARE CENTER,Jefferson,CO,For profit,065296
HARMONY POINTE NURSING CENTER,Jefferson,CO,For profit,065298
MAPLETON CARE CENTER,Jefferson,CO,For profit,065097
MONTAGE RIDGE,Jefferson,CO,For profit,065374
MOUNTAIN VISTA HEALTH CENTER,Jefferson,CO,Non profit,065015
"REHABILITATION CENTER AT SANDALWOOD,THE",Jefferson,CO,For profit,065292
SIERRA REHABILITATION AND CARE COMMUNITY,Jefferson,CO,For profit,065272
VILLA MANOR CARE CENTER,Jefferson,CO,For profit,065092
GRACE MANOR CARE CENTER,Kit Carson,CO,For profit,065284
CENTER AT ROCK CREEK LLC,Larimer,CO,For profit,065423
LEMAY AVENUE HEALTH AND REHABILITATION FACILITY,Larimer,CO,For profit,065142
NORTH SHORE HEALTH & REHAB FACILITY,Larimer,CO,For profit,065129
COLOROW HEALTH CARE LLC,Montrose,CO,For profit,065354
SAN JUAN LIVING CENTER,Montrose,CO,For profit,065195
EBEN EZER LUTHERAN CARE CENTER,Morgan,CO,Non profit,065163
SUNSET MANOR,Morgan,CO,For profit,065170
CASEY'S POND SENIOR LIVING LTC,Routt,CO,Non profit,065341
CENTENNIAL HEALTH CARE CENTER,Weld,CO,For profit,065212
"CENTER AT CENTERPLACE LLC, THE",Weld,CO,For profit,065431
COLUMBINE COMMONS HEALTH AND REHAB LLC,Weld,CO,For profit,065410
"FAIRACRES MANOR, INC.",Weld,CO,For profit,065211
GOOD SAMARITAN SOCIETY - BONELL COMMUNITY,Weld,CO,Non profit,065095
"GRACE POINTE CONT CARE SR CAMPUS, SKILLED NURSING",Weld,CO,For profit,065397
KENTON MANOR,Weld,CO,For profit,065219
APPLE REHAB SHELTON LAKES,Fairfield,CT,For profit,075300
AUTUMN LAKE HEALTHCARE AT NORWALK,Fairfield,CT,For profit,075387
BETHEL HEALTH CARE CENTER,Fairfield,CT,For profit,075400
BISHOP WICKE HEALTH & REHAB CT,Fairfield,CT,Non profit,075163
CAMBRIDGE HEALTH AND REHABILITATION CENTER,Fairfield,CT,For profit,075323
"CAROLTON CHRONIC & CONV HOSP,",Fairfield,CT,For profit,075034
CASSENA CARE AT NORWALK,Fairfield,CT,For profit,075159
CASSENA CARE AT STAMFORD,Fairfield,CT,For profit,075061
EDGEHILL HEALTH CENTER,Fairfield,CT,For profit,075421
"FILOSA, FOR NURSING & REHABILITATION",Fairfield,CT,For profit,075074
"GARDNER HEIGHTS HEALTH CARE CENTER, INC",Fairfield,CT,For profit,075368
GLEN HILL CENTER,Fairfield,CT,For profit,075031
GREENWICH WOODS REHABILITATION,Fairfield,CT,For profit,075309
HANCOCK HALL,Fairfield,CT,For profit,075414
"HEWITT HEALTH & REHABILITATION CENTER, INC",Fairfield,CT,For profit,075047
JEWISH SENIOR SERVICES,Fairfield,CT,Non profit,075353
LAUREL RIDGE HEALTH CARE CENTE,Fairfield,CT,For profit,075395
LONG RIDGE POST-ACUTE CARE,Fairfield,CT,For profit,075394
LORD CHAMBERLAIN MANOR,Fairfield,CT,For profit,075412
LORD CHAMBERLAIN NURSING & REHABILITATION CENTER,Fairfield,CT,For profit,075339
"LUDLOWE CENTER FOR HEALTH & REHABILITATION, LLC",Fairfield,CT,For profit,075330
MAEFAIR HEALTH CARE CENTER,Fairfield,CT,For profit,075404
MEADOW RIDGE,Fairfield,CT,For profit,075429
NEWTOWN REHABILITATION & HEALTH CARE CENTER,Fairfield,CT,For profit,075355
NORTHBRIDGE HEALTH CARE CENTER,Fairfield,CT,For profit,075413
NOTRE DAME CONVALESCENT HOME I,Fairfield,CT,For profit,075356
REGALCARE AT GREENWICH,Fairfield,CT,For profit,075069
REGALCARE AT SOUTHPORT,Fairfield,CT,For profit,075200
SAINT JOHN PAUL I I CENTER,Fairfield,CT,For profit,075354
"SPRINGS AT WATERMARK 3030 PARK, THE",Fairfield,CT,For profit,075440
ST CAMILLUS REHABILITATION & NURSING CENTER,Fairfield,CT,For profit,075320
ST JOSEPH'S CENTER,Fairfield,CT,For profit,075001
"VILLA AT STAMFORD, THE",Fairfield,CT,For profit,075153
WAVENY CARE CENTER,Fairfield,CT,Non profit,075361
WESTERN REHABILITATION CARE CENTER,Fairfield,CT,For profit,075274
WESTPORT REHABILITATION COMPLEX,Fairfield,CT,For profit,075280
WILTON MEADOWS HEALTH CARE CEN,Fairfield,CT,For profit,075317
"WITHERELL, NATHANIEL",Fairfield,CT,Government,075117
60 WEST,Hartford,CT,For profit,075442
AMBERWOODS OF FARMINGTON,Hartford,CT,For profit,075419
APPLE REHAB AVON,Hartford,CT,For profit,075388
APPLE REHAB FARMINGTON VALLEY,Hartford,CT,For profit,075044
APPLE REHAB ROCKY HILL,Hartford,CT,For profit,075211
AUTUMN LAKE HEALTHCARE AT NEW BRITAIN,Hartford,CT,For profit,075292
AVERY NURSING HOME,Hartford,CT,Non profit,075063
AVON HEALTH CENTER,Hartford,CT,For profit,075244
BEL AIR MANOR,Hartford,CT,For profit,075393
BICKFORD HEALTH CARE CENTER,Hartford,CT,Non profit,075358
BLOOMFIELD HEALTH CARE CENTER,Hartford,CT,For profit,075138
CALEB HITCHCOCK HEALTH CARE CE,Hartford,CT,Non profit,075301
CASSENA CARE AT NEW BRITAIN,Hartford,CT,For profit,075185
CHELSEA PLACE CARE CENTER,Hartford,CT,For profit,075299
CHERRY BROOK HEALTH CARE CENTE,Hartford,CT,Non profit,075396
COUNTRYSIDE MANOR OF BRISTOL,Hartford,CT,For profit,075415
CRESTFIELD REHABILITATION CENTER & FENWOOD MANOR,Hartford,CT,For profit,075013
FRESH RIVER HEALTHCARE,Hartford,CT,For profit,075359
GLASTONBURY HEALTH CARE CENTER,Hartford,CT,For profit,075316
GOVERNOR'S HOUSE REHABILITATION & NURSING CENTER,Hartford,CT,For profit,075338
GRANDVIEW REHABILITATION AND HEALTHCARE CENTER,Hartford,CT,For profit,075182
HEBREW CENTER FOR HEALTH AND REHABILITATION,Hartford,CT,For profit,075109
HUGHES HEALTH AND REHABILITATION,Hartford,CT,For profit,075082
INGRAHAM MANOR,Hartford,CT,Non profit,075329
JEFFERSON HOUSE,Hartford,CT,For profit,075293
JEROME HOME,Hartford,CT,Non profit,075343
KIMBERLY HALL NORTH,Hartford,CT,For profit,075279
KIMBERLY HALL-SOUTH CENTER,Hartford,CT,For profit,075237
LEDGECREST HEALTH CARE,Hartford,CT,For profit,075230
MANCHESTER MANOR,Hartford,CT,For profit,075333
MAPLE VIEW MANOR,Hartford,CT,For profit,075238
MARLBOROUGH HEALTH & REHABILITATION CENTER,Hartford,CT,For profit,075384
MCLEAN HEALTH CENTER,Hartford,CT,Non profit,075216
MEADOWBROOK OF GRANBY,Hartford,CT,For profit,075367
NEWINGTON RAPID RECOVERY REHAB CENTER,Hartford,CT,For profit,075286
PARKVILLE CARE CENTER,Hartford,CT,For profit,075250
PARKWAY PAVILION HEALTH AND REHABILITATION CENTER,Hartford,CT,For profit,075195
"PINES AT BRISTOL FOR NURSING & REHABILITATION, THE",Hartford,CT,For profit,075221
RIVERSIDE HEALTH & REHABILITAT,Hartford,CT,For profit,075257
SALMON BROOK REHAB AND NURSING,Hartford,CT,For profit,075060
SEABURY,Hartford,CT,Non profit,075383
SHERIDEN WOODS,Hartford,CT,For profit,075350
SOUTHINGTON CARE CENTER,Hartford,CT,Non profit,075336
ST MARY HOME,Hartford,CT,Non profit,075085
"SUFFIELD HOUSE, THE",Hartford,CT,For profit,075347
"SUMMIT AT PLANTSVILLE, THE",Hartford,CT,For profit,075420
THE RESERVOIR,Hartford,CT,For profit,075407
TOUCHPOINTS AT BLOOMFIELD,Hartford,CT,For profit,075264
TOUCHPOINTS AT FARMINGTON,Hartford,CT,For profit,075251
TOUCHPOINTS AT MANCHESTER,Hartford,CT,For profit,075314
TRINITY HILL CARE CENTER,Hartford,CT,For profit,075268
WEST HARTFORD HEALTH & REHABILITATION CENTER,Hartford,CT,For profit,075278
WESTSIDE CARE CENTER,Hartford,CT,For profit,075252
"WINDSOR HEALTH AND REHABILITATION CENTER, LLC",Hartford,CT,For profit,075011
APPLE REHAB WATERTOWN,Litchfield,CT,For profit,075181
CANDLEWOOD VALLEY HEALTH & REHABILITATION CENTER,Litchfield,CT,For profit,075416
GEER NURSING AND REHABILITATION,Litchfield,CT,Non profit,075202
LITCHFIELD WOODS HEALTH CARE C,Litchfield,CT,For profit,075319
REGALCARE AT TORRINGTON,Litchfield,CT,For profit,075105
SHARON HEALTH CARE CENTER,Litchfield,CT,For profit,075379
VALERIE MANOR,Litchfield,CT,For profit,075332
VILLAGE CREST CENTER FOR HEALTH & REHABILITATION,Litchfield,CT,For profit,075208
WOLCOTT HALL NURSING CTR,Litchfield,CT,For profit,075111
AARON MANOR NURSING & REHABILITATION,Middlesex,CT,For profit,075410
APPLE REHAB CROMWELL,Middlesex,CT,For profit,075380
APPLE REHAB MIDDLETOWN,Middlesex,CT,For profit,075089
AUTUMN LAKE HEALTHCARE AT CROMWELL,Middlesex,CT,For profit,075263
